1;اتریش;0
2;اتیوپی;0
3;"آذربايجان (جمهوری آذربایجان)";0
4;اردن;0
5;آرژانتین;0
6;ارمنستان;0
7;اروگوئه;0
8;اريتره;0
9;ازبکستان;0
10;اسپانیا;0
11;استرالیا;0
12;استونی;0
13;اسلوواکی;0
14;اسلوونی;0
15;"آفریقای جنوبی";0
16;"آفریقای مرکزی";0
17;افغانستان;0
18;اکوادور;0
19;آلبانی;0
20;الجزایر;0
21;السالوادور;0
22;آلمان;0
23;"امارات متحده عربی";0
24;"آنتیگوا و باربودا";0
25;آندورا;0
26;اندونزی;0
27;آنگولا;0
28;اوکراین;0
29;اوگاندا;0
30;"ایالات متحده آمریکا";0
31;ایتالیا;0
32;ایران;0
33;ایرلند;0
34;ایسلند;0
35;باربادوس;0
36;باهاما;0
37;بحرین;0
38;برزیل;0
39;برونئی;0
40;بریتانیا;0
41;بلاروس;0
42;بلژیک;0
43;بلغارستان;0
44;بلیز;0
45;بنگلادش;0
46;بنین;0
47;بوتان;0
48;بوتسوانا;0
49;بورکینافاسو;0
50;بوروندی;0
51;"بوسنی هرزگووین";0
52;بولیوی;0
53;"پاپوا گینه نو";0
54;پاراگوئه;0
55;پاناما;0
56;پاکستان;0
57;پرتغال;0
58;پرو;0
59;پورتوریکو;0
60;تاجیکستان;0
61;تانزانیا;0
62;تایلند;0
63;تایوان;0
64;ترکمنستان;0
65;ترکیه;0
66;"ترینیداد و توباگو";0
67;توگو;0
68;تونس;0
69;تونگا;0
70;تووالو;0
71;"تیمور شرقی";0
72;جامائیکا;0
73;"جزایر سلیمان";0
74;"جزایر مارشال";0
75;"جمهوری چک";0
76;"جمهوری خلق چین";0
77;"جمهوری خلق کنگو (زئیر)";0
78;"جمهوری دومینیکن";0
79;جیبوتی;0
80;چاد;0
81;دانمارک;0
82;دومینیکا;0
83;رواندا;0
84;روسیه;0
85;رومانی;0
86;زامبیا;0
87;"زلاند نو";0
88;زیمبابوه;0
89;ژاپن;0
90;"سائوتومه و پرنسیپ";0
91;"ساحل عاج";0
92;"ساموآی غربی";0
93;"سان مارینو";0
94;سری‌لانکا;0
95;"سنت کیتس و نویس";0
96;سنگاپور;0
97;سنگال;0
98;سوئد;0
99;سوئیس;0
100;سوازیلند;0
101;سودان;0
102;سورینام;0
103;سوریه;0
104;سومالی;0
105;سیرالئون;0
106;سیشل;0
107;شیلی;0
108;صربستان;0
109;عراق;0
110;"عربستان سعودی";0
111;عمان;0
112;غنا;0
113;فرانسه;0
114;فلسطین;0
115;فنلاند;0
116;فیجی;0
117;فیلیپین;0
118;قبرس;0
119;قرقیزستان;0
120;قزاقستان;0
121;"قطر (کشور)|قَطَر";0
122;کامبوج;0
123;کامرون;0
124;کانادا;0
125;"کره جنوبی";0
126;"کره شمالی";0
127;کرواسی;0
128;کستاریکا;0
129;کلمبیا;0
130;کنگو;0
131;کنیا;0
132;کوبا;0
133;کومور;0
134;کویت;0
135;"کیپ ورد";0
136;کیریباتی;0
137;گابن;0
138;گامبیا;0
139;گرجستان;0
140;گرنادا;0
141;گرینلند;0
142;گوآتمالا;0
143;گویان;0
144;گینه;0
145;"گینه استوایی";0
146;"گینه بیسائو";0
147;لائوس;0
148;لبنان;0
149;لتونی;0
150;لسوتو;0
151;لهستان;0
152;لوکزامبورگ;0
153;لیبریا;0
154;لیبی;0
155;لیتوانی;0
156;لیختنشتاین;0
157;ماداگاسکار;0
158;مالاوی;0
159;"مالت (کشور)|مالت";0
160;مالدیو;0
161;مالزی;0
162;مالی;0
163;مجارستان;0
164;مراکش;0
165;مصر;0
166;مغولستان;0
167;مقدونیه;0
168;مکزیک;0
169;موریتانی;0
170;موریس;0
171;موزامبیک;0
172;مولداوی;0
173;موناکو;0
174;میانمار;0
175;میکرونزی;0
176;نائورو;0
177;نامیبیا;0
178;نپال;0
179;نروژ;0
180;نیجر;0
181;نیجریه;0
182;نیکاراگوآ;0
183;واتیکان;0
184;وانواتو;0
185;ونزوئلا;0
186;ویتنام;0
187;هائیتی;0
188;هلند;0
189;هندوراس;0
190;هندوستان;0
191;یونان;0
192;یمن;0
